Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
L,5:L-7:C,0.058978440651163144,0.022885416199299312,0.09507146510302697,3.953284954572034e-5,L,5,C,7,r
L,7:L-7:C,0.0765660149847911,0.03953535323589867,0.11359667673368352,1.0356313751014312e-7,L,7,C,7,r
L,5:L-5:H,0.07139204979015804,0.03626167947322576,0.10652242010709032,1.712982853341316e-7,L,5,H,5,r
L,7:L-5:H,0.08897962412378599,0.052886599671922156,0.12507264857564981,3.152934580086253e-10,L,7,H,5,r
L,7:L-7:H,0.05269862876151443,0.014528296317213661,0.0908689612058152,9.31010445292868e-4,L,7,H,7,r
L,5:P-5:L,-0.06284051699770896,-0.09797088731464124,-0.027710146680776683,5.03922943329016e-6,P,5,L,5,r
L,5:P-7:L,-0.08042809133133691,-0.11652111578320073,-0.04433506687947308,1.0293946250961028e-8,P,5,L,7,r
P,5:P-7:C,0.03631805937215876,0.006056831149325485,0.06657928759499204,0.006951414763878283,P,5,C,7,r
P,7:P-7:C,0.05185762937006275,0.022403512685240618,0.08131174605488488,6.39845213379342e-6,P,7,C,7,r
P,7:P-5:H,0.04495327074302316,0.015499154058201032,0.07440738742784529,1.4584430413111527e-4,P,7,H,5,r
P,5:P-7:H,0.03364175499805566,0.0033805267752223846,0.06390298322088894,0.01738894513708189,P,5,H,7,r
P,7:P-7:H,0.04918132499595965,0.019727208311137518,0.07863544168078178,2.2094087000823492e-5,P,7,H,7,r
P,5:P-5:L,0.04523673052875149,0.014975502305918213,0.07549795875158477,2.1734893041536196e-4,P,5,L,5,r
P,7:P-5:L,0.060776300526655475,0.03132218384183334,0.0902304172114776,8.532206430267308e-8,P,7,L,5,r
P,5:P-7:L,0.04611238164400022,0.015851153421166945,0.0763736098668335,1.5040123075338308e-4,P,5,L,7,r
P,7:P-7:L,0.06165195164190421,0.032197834957082075,0.09110606832672634,5.524739687956526e-8,P,7,L,7,r
A,7:C-5:A,6.58888888888889,4.081559773154201,9.09621800462358,1.341060595905219e-10,C,7,A,5,K
A,5:P-5:A,2.6233333333333295,0.17949120875155655,5.067175457915102,0.025390176178089696,P,5,A,5,K
