Plate_ID,Plug_ID,1,2,3,4,5,6,7,8,
HA701,h,2.6,6.4,10.4,12.9,15,17.5,,,
HA701,a,0.6,1.6,2.8,3.5,4.8,5.6,,,
HA702,h,2,6.7,10.1,12.8,15.9,18.1,,,
HA702,a,0.8,2,3,3.5,4,5.1,,,
HA703,h,2.4,6.7,9.6,12.9,15.5,17.5,,,
HA703,a,0.8,2.3,2.8,3.7,4.6,5.9,,,
HA704,h,2.8,7.3,10.6,14.3,17,19.7,,,
HA704,a,0.6,1.1,1.8,2.4,2.9,3.9,,,
HA705,h,3.1,7.1,10.9,14.3,17.1,19.4,,,
HA705,a,0.7,1.7,2.4,3.1,4,4.8,,,
HA706,h,2.6,6.7,10,13.9,16.1,18,,,
HA706,a,0.7,1.7,2.6,3.4,4.1,4.9,,,
HA707,h,2.7,7.1,9.4,12.7,16.7,19.6,,,plg dslged
HA707,a,0.6,1.2,1.7,2.2,,,,,plg dslged
HA708,h,2.6,6.9,10.5,13.5,17.5,21.9,,,plg dslged
HA708,a,0.9,1.1,1.4,1.5,,,,,plg dslged
HA709,h,3.3,7.6,12,16.8,20.7,22.9,,,plg dslged
HA709,a,0.6,0.9,1.3,1.5,,,,,plg dslged
HA710,h,3.1,7.3,11.4,15.3,18.2,21.9,,,plg dslged
HA710,a,0.5,0.9,1.4,1.7,,,,,plg dslged
HP501,h,1.3,1.9,2.6,3.1,,4.1,4.8,,
HP501,p,0.7,1.5,3.6,6.2,8.1,9.8,12.7,,
HP502,h,1.4,1.8,2.7,3.6,,4.8,5.3,,
HP502,p,0.6,1.4,3.5,6,8.7,12,13.8,,
HP503,h,1.5,2.4,3.7,4.5,,5.6,,,
HP503,p,0.7,1.8,4.2,7.5,10.1,12.6,13.4,,
HP504,h,1.2,2,2.5,3.3,,4.4,5.6,,
HP504,p,0.6,1.7,3.7,6.2,9,12.3,14.7,,
HP505,h,1.4,2.4,3.4,4.2,,5.3,6.1,,
HP505,p,0.8,1.6,4,6.5,8.5,11.5,13.5,,
HP506,h,1.5,2.4,4,5.1,,6.1,7,,
HP506,p,0.7,1.9,4.5,7.2,9.3,11.4,13.2,,
HP507,h,1.5,2.2,3.3,4.3,,5.5,,,
HP507,p,0.6,1.4,3.4,6.4,8.8,10.9,13,,
HP508,h,1.3,1.9,2.8,3.4,,4.2,5.1,,
HP508,p,0.6,1.5,3.7,6.6,8.7,11.2,13.5,,
HP509,h,1.7,3,4.4,5.1,,6.3,6.8,,
HP509,p,0.8,1.6,4.4,7.3,8.8,11.3,13.3,,
HP510,h,1.9,2.6,3.7,5.1,6,7.2,8.4,,
HP510,p,0.8,1.4,2.8,4.4,5.3,6.4,7.7,,
HP701,h,2.5,6.6,9.9,12.2,13.9,14.9,,,
HP701,p,0.7,1.6,3.7,6,7.6,,,,
HP702,h,2.9,6.7,9.8,12.8,14.1,14.9,,,
HP702,p,0.5,1.5,3.6,6.3,7.9,,,,
HP703,h,2.8,6.7,10.2,12.6,14,15,,,
HP703,p,0.7,1.7,3.6,6.2,7.5,,,,
HP704,h,2.6,6.5,10,12.2,13.3,14.1,,,
HP704,p,0.6,1.7,3.5,6.3,7.9,,,,
HP705,h,2.9,7.2,10.4,12.3,13.6,14.8,,,
HP705,p,0.8,1.8,3.9,6,7.6,,,,
HP706,h,2.9,7.6,10.5,13.5,15,15.9,,,
HP706,p,0.6,1.4,2.9,5.8,7.5,,,,
HP707,h,3,6.5,9.8,11.9,13.5,15.2,,,
HP707,p,0.6,1.4,3.6,5.4,6.8,,,,
HP708,h,2.7,7.2,10.7,13.4,14.8,16.2,,,
HP708,p,0.6,1.5,3.2,5.3,6.6,,,,
